accuracy,f1,auroc,auprc,n_patients,n_pos_patients,n_neg_patients,n_heterogeneous_patients,model,scheme,split,n_val_cells,hyperparams
0.5121951219512195,0.5038069428313331,0.382051282051282,0.5947320952428224,41,26,15,31,scMeta-Tran,LOOCV,MSK_SPECTRUM,198901,"conv=TransformerConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
1.0,1.0,,,12,0,12,0,Random Forest,LOOCV,2102-Breastcancer,13604,"{'n_estimators': 300, 'max_depth': None, 'random_state': 42, 'n_jobs': 4}"
1.0,1.0,,,8,0,8,0,scMeta-SAGE,LOOCV,Lambrechts_Thienpont_2018,6789,"conv=SAGEConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
0.9,0.9473684210526316,,,20,0,20,0,Logistic Regression,LOOCV,Wu_etal_2021_BRCA,22380,"{'C': 1, 'penalty': 'l1', 'solver': 'saga', 'max_iter': 1000, 'random_state': 42}"
0.375,0.2045454545454545,0.6000000000000001,0.7333333333333334,8,5,3,7,Logistic Regression,LOOCV,GSE167036,1036,"{'C': 1, 'penalty': 'l1', 'solver': 'saga', 'max_iter': 1000, 'random_state': 42}"
1.0,1.0,,,15,0,15,0,SGD,LOOCV,GSE132465,9363,"{'loss': 'log_loss', 'alpha': 0.001, 'penalty': 'l2', 'max_iter': 1000, 'random_state': 42}"
1.0,1.0,,,17,0,17,0,Random Forest,LOOCV,UKIM-V,5882,"{'n_estimators': 300, 'max_depth': None, 'random_state': 42, 'n_jobs': 4}"
1.0,1.0,,,5,0,5,0,SGD,LOOCV,GSE225857,9877,"{'loss': 'log_loss', 'alpha': 0.001, 'penalty': 'l2', 'max_iter': 1000, 'random_state': 42}"
0.4,0.2285714285714285,0.6666666666666666,0.7333333333333334,5,3,2,0,Random Forest,LOOCV,Multi_modal_breast_cancer,6867,"{'n_estimators': 300, 'max_depth': None, 'random_state': 42, 'n_jobs': 4}"
1.0,1.0,,,7,0,7,0,Random Forest,LOOCV,2098-Colorectalcancer,8874,"{'n_estimators': 300, 'max_depth': None, 'random_state': 42, 'n_jobs': 4}"
0.8125,0.798992281303602,0.8929110105580694,0.7161463685278702,64,13,51,8,scMeta-Tran,5foldCV,fold3,80570,"conv=TransformerConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
0.859375,0.8522127329192546,0.7631975867269986,0.5493917076756261,64,13,51,8,scMeta-GAT,5foldCV,fold3,80570,"conv=GATConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
0.9310344827586208,0.9642857142857144,,,29,0,29,0,Logistic Regression,LOOCV,Leader_Merad_2021,4365,"{'C': 1, 'penalty': 'l1', 'solver': 'saga', 'max_iter': 1000, 'random_state': 42}"
1.0,1.0,,,15,0,15,0,scMeta-GAT,LOOCV,GSE132465,9363,"conv=GATConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
